Pop.Type,loc,bed,row,col,pop,mf,rep,Genotype,block,height.cm,long.leaf.cm,herbiv.y.n,survey.notes
2023-survivor,H_24_D,H,24,D,SC,6,13,SC_6_13,K,7.6,3,Y,NA
2023-survivor,H_31_C,H,31,C,IH,5,13,IH_5_13,K,20.7,4.4,N,NA
2023-survivor,I_12_A,I,12,A,IH,1,1,IH_1_1,L,NA,NA,NA,Dead
2023-survivor,I_16_B,I,16,B,BH,2,1,BH_2_1,L,NA,NA,NA,Dead
2023-survivor,I_18_A,I,18,A,BH,1,1,BH_1_1,L,7.7,1.9,Y,NA
2023-survivor,I_3_D,I,3,D,BH,4,1,BH_4_1,L,NA,NA,NA,Dead
2023-survivor,J_4_A,J,4,A,YO7,3,8,YO7_3_8,M,4,0.8,N,NA
2023-survivor,J_8_A,J,8,A,BH,5,2,BH_5_2,M,NA,NA,NA,Dead
2023-survivor,J_10_A,J,10,A,BH,4,2,BH_4_2,M,NA,NA,NA,Dead
2023-survivor,J_15_A,J,15,A,YO7,7,11,YO7_7_11,M,2,1,N,NA
2023-survivor,J_18_B,J,18,B,SC,8,2,SC_8_2,M,NA,NA,NA,Dead
2023-survivor,J_11_D,J,11,D,IH,5,2,IH_5_2,M,18,3,Y,NA
2023-survivor,J_13_C,J,13,C,BH,6,2,BH_6_2,M,5,2,Y,NA
2023-survivor,J_17_D,J,17,D,LV1,8,1,LV1_8_1,M,NA,NA,NA,Dead
2023-survivor,K_2_B,K,2,B,IH,4,14,IH_4_14,M,NA,NA,NA,Dead
2023-survivor,K_4_B,K,4,B,IH,6,2,IH_6_2,M,NA,NA,NA,Dead
2023-survivor,K_10_A,K,10,A,YO7,1,2,YO7_1_2,M,11,1.5,N,NA
2023-survivor,K_13_A,K,13,A,CC,1,2,CC_1_2,M,31,2.3,N,NA
2023-survivor,K_2_C,K,2,C,YO7,5,13,YO7_5_13,M,10,2.5,N,NA
2023-survivor,K_7_C,K,7,C,SC,6,2,SC_6_2,M,NA,NA,NA,Dead
2023-survivor,K_8_C,K,8,C,IH,1,2,IH_1_2,M,NA,NA,NA,Dead
