Genotype,pop.mf,parent.pop,mf,rep,pheno,Site,Survival,elevation.group,elev_m,Recent_Gowers_Dist_UCD,Historic_Gowers_Dist_UCD,Recent_Gowers_Dist_WL2,Historic_Gowers_Dist_WL2
WL2_7_5,WL2_7,WL2,7,5,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_7_6,WL2_7,WL2,7,6,V,WL2,1,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_7_7,WL2_7,WL2,7,7,V,WL2,1,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_7_8,WL2_7,WL2,7,8,V,WL2,1,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_7_9,WL2_7,WL2,7,9,V,WL2,1,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_8_1,WL2_8,WL2,8,1,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_8_10,WL2_8,WL2,8,10,V,WL2,1,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_8_11,WL2_8,WL2,8,11,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_8_12,WL2_8,WL2,8,12,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_8_13,WL2_8,WL2,8,13,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_8_2,WL2_8,WL2,8,2,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_8_3,WL2_8,WL2,8,3,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_8_4,WL2_8,WL2,8,4,V,WL2,1,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_8_5,WL2_8,WL2,8,5,V,WL2,1,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_8_6,WL2_8,WL2,8,6,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_8_7,WL2_8,WL2,8,7,V,WL2,1,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_8_8,WL2_8,WL2,8,8,V,WL2,1,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_8_9,WL2_8,WL2,8,9,V,WL2,1,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WR_1_1,WR_1,WR,1,1,X,UCD,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_1_1,WR_1,WR,1,1,NA,WL2,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_1_11,WR_1,WR,1,11,X,UCD,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_1_2,WR_1,WR,1,2,NA,WL2,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_1_6,WR_1,WR,1,6,X,UCD,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_1_7,WR_1,WR,1,7,X,UCD,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_1_9,WR_1,WR,1,9,X,UCD,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_2_10,WR_2,WR,2,10,NA,WL2,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_2_11,WR_2,WR,2,11,NA,WL2,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_2_15,WR_2,WR,2,15,NA,WL2,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_2_16,WR_2,WR,2,16,NA,WL2,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_2_18,WR_2,WR,2,18,X,WL2,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_2_19,WR_2,WR,2,19,NA,WL2,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_2_2,WR_2,WR,2,2,X,UCD,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_2_2,WR_2,WR,2,2,NA,WL2,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_2_20,WR_2,WR,2,20,NA,WL2,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_2_21,WR_2,WR,2,21,NA,WL2,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_2_23,WR_2,WR,2,23,NA,WL2,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_2_7,WR_2,WR,2,7,X,UCD,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_2_7,WR_2,WR,2,7,NA,WL2,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_2_8,WR_2,WR,2,8,X,UCD,0,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
WR_3_2,WR_3,WR,3,2,V,WL2,1,Mid,1158,0.28024096120962916,0.24642517122143773,0.733070060564509,0.7047773130804954
