BedLoc,block,Genotype,pop.mf,parent.pop,mf,rep,height.cm,long.leaf.cm,Site,Garden_Lat,Garden_Long,Garden_Elev,elevation.group,elev_m,Lat,Long,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,Geographic_Dist,Elev_Dist
D2_31_C,D2,SQ1_1_11,SQ1_1,SQ1,1,11,2.7,2,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
F1_15_B,F1,SQ1_1_12,SQ1_1,SQ1,1,12,2.1,2.1,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
F2_26_A,F2,SQ1_1_13,SQ1_1,SQ1,1,13,NA,NA,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
F2_29_C,F2,SQ1_1_1,SQ1_1,SQ1,1,1,1.5,2.5,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
H1_7_B,H1,SQ1_1_2,SQ1_1,SQ1,1,2,2.5,2.4,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
H2_28_D,H2,SQ1_1_3,SQ1_1,SQ1,1,3,1.9,1.6,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
J1_7_A,J1,SQ1_1_4,SQ1_1,SQ1,1,4,1.8,2,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
J2_39_B,J2,SQ1_1_5,SQ1_1,SQ1,1,5,1.9,2.7,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
L2_39_A,L2,SQ1_1_7,SQ1_1,SQ1,1,7,NA,NA,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
L1_21_D,L1,SQ1_1_6,SQ1_1,SQ1,1,6,1.1,2.3,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
