block ,bed ,row ,col ,unique.ID ,height.cm ,overhd.diam ,overhd.perp ,herbiv.y.n ,survey.notes 
NA ,C ,32,D ,TM2_7_12 ,,,,,TM2 Fruiting from 2023 
NA ,C ,33,C ,TM2_2_5 ,,,,,TM2 Fruiting from 2023 
B ,C ,33,D ,832,,,,,
B ,C ,34,C ,564,NA ,NA ,NA ,NA ,7/30 dead 
B ,C ,34,D ,990,NA ,NA ,NA ,NA ,wilted 7/16/24 7/30 dead 
B ,C ,35,C ,NA ,,,,,
B ,C ,35,D ,NA ,,,,,
B ,C ,36,C ,NA ,,,,,
C ,C ,36,D ,214,,,,,6/25/24 roots exposed 
NA ,C ,37,C ,CC_2_7 ,48.2,33.6,22.8,Y ,
C ,C ,37,D ,714,4.2,2.5,1.3,N ,
NA ,C ,38,C ,YO7_1_3 ,6.5,0.9,0.6,N ,2 vegetative branches 
C ,C ,38,D ,539,4.8,1.7,1.7,N ,
C ,C ,39,C ,282,3,1.1,0.7,N ,
C ,C ,39,D ,1098,NA ,NA ,NA ,NA ,7/30 dead 
C ,C ,40,C ,489,NA ,NA ,NA ,NA ,7/16/24 wilted 7/30 dead 
C ,C ,40,D ,126,,,,,
C ,C ,41,C ,266,,,,,
C ,C ,41,D ,989,,,,,
C ,C ,42,C ,174,4.1,1,0.9,Y ,
C ,C ,42,D ,553,,,,,6/18/24 Top Missing 
C ,C ,43,C ,1156,5,2,1.5,N ,
C ,C ,43,D ,1048,8.6,3.8,2.4,Y ,
C ,C ,44,C ,1252,3.5,1.8,1.6,Y ,
C ,C ,44,D ,1085,5,2.2,1.7,Y ,
C ,C ,45,C ,NA ,,,,,
C ,C ,45,D ,394,4.3,4.1,2.3,Y ,
C ,C ,46,C ,528,2.2,2.9,2.3,N,6/18/24 Plant Sunk 
C ,C ,46,D ,429,,,,,6/18/24 Plant sunk wilting / 6/25/24 aone 
C ,C ,47,C ,3,,,,,
C ,C ,47,D ,1399,2.6,2.8,1,Y ,
C ,C ,48,C ,89,2.7,2,1.7,Y ,
C ,C ,48,D ,946,,,,,6/25/24 wilting 
C ,C ,49,C ,37,,,,,
C ,C ,49,D ,518,NA ,NA ,NA ,NA ,7/30 dead 
C ,C ,50,C ,NA ,,,,,
C ,C ,50,D ,NA ,,,,,
C ,C ,51,C ,NA ,,,,,
C ,C ,51,D ,754,,,,,7/9 wilted 
D ,C ,52,C ,1062,,,,,7/2 wilting 
NA ,C ,52,D ,TM2_7_13 ,,,,,TM2 Fruiting from 2023 /1 seedling / last year's notes say C_53_D 
D ,C ,53,C ,4,,,,,6/25/24 wilted 
D ,C ,53,D ,1188,,,,,
D ,C ,54,C ,885,4.3,0.5,0.3,Y ,7/30 heavily herbivorized 
D ,C ,54,D ,526,,,,,
D ,C ,55,C ,202,,,,,6/25/24 wilted 
D ,C ,55,D ,321,,,,,
D ,C ,56,C ,842,,,,,
D ,C ,56,D ,376,,,,,
D ,C ,57,C ,957,,,,,6/25/24 wilted 
D ,C ,57,D ,1148,,,,,6/25/24 wilted 
D ,C ,58,C ,21,,,,,
D ,C ,58,D ,176,,,,,6/25/24 very wilted 
D ,C ,59,C ,buffer ,,,,,
D ,C ,59,D ,buffer ,,,,,
D ,C ,60,C ,buffer ,,,,,
D ,C ,60,D ,buffer ,,,,,
D ,D ,1,A ,buffer ,,,,,
D ,D ,1,B ,buffer ,,,,,
D ,D ,2,A ,buffer ,,,,,
D ,D ,2,B ,buffer ,,,,,
D ,D ,3,A ,buffer ,,,,,
NA ,D ,3,B ,IH_5_9 ,44.5,22.3,11.4,Y ,mistakenly coded as buffer before 7/23 
D ,D ,4,A ,724,,,,,6/25/24 very wilted 
D ,D ,4,B ,906,,,,,6/25/24 wilting 
D ,D ,5,A ,1230,,,,,6/25/24 wilting 
D ,D ,6,B ,90,,,,,6/25/24 wilting 
D ,D ,8,A ,101,,,,,7/2 wilting 
D ,D ,9,A ,1350,,,,,6/25/24 wilted 
D ,D ,9,B ,937,,,,,
D ,D ,10,A ,283,,,,,7/9/24 wilted 
D ,D ,10,B ,436,8.1,3.6,2.1,N ,
D ,D ,11,A ,113,2,0.6,0.3,N ,
D ,D ,11,B ,546,,,,,6/25/24 wilted 
D ,D ,12,A ,NA ,,,,,
D ,D ,12,B ,NA ,,,,,
D ,D ,13,A ,NA ,,,,,
D ,D ,13,B ,304,4.5,3.2,1.6,Y ,
NA ,D ,14,A ,IH_7_9 ,,,,,
E ,D ,14,B ,5,,,,,6/25/24 wilted 
E ,D ,15,A ,119,2.8,0.5,0.5,N ,
E ,D ,15,B ,91,,,,,
E ,D ,16,A ,268,,,,,
E ,D ,16,B ,1107,4.1,1.5,1.3,Y ,
NA ,D ,17,A ,CC_9_9 ,,,,,
E ,D ,17,B ,162,,,,,
E ,D ,18,A ,203,,,,,7/9 wilted 
E ,D ,18,B ,403,3.4,2.3,1.2,Y ,
NA ,D ,19,A ,TM2_7_18 ,29,14.6,8.6,N ,
NA ,D ,19,B ,CC_4_9 ,26,11.3,10.8,Y ,Stem broken 
E ,D ,20,A ,988,,,,,
E ,D ,20,B ,141,2.5,1.4,0.8,N ,
NA ,D ,21,A ,SC_5_9 ,NA ,NA ,NA ,NA ,7/16 Wilting 7/30 marked already dead 
E ,D ,21,B ,798,,,,,6/25/24 wilting 7/2 wilting 
E ,D ,22,A ,467,,,,,6/25/24 wilting 
E ,D ,22,B ,607,,,,,6/25/24 wilting 7/2 wilting 
E ,D ,23,A ,1231,,,,,6/25/24 snapped off 
E ,D ,23,B ,22,,,,,
E ,D ,24,A ,969,,,,,6/25/24 wilting 
NA ,D ,24,B ,IH_1_9 ,,,,,
E ,D ,25,A ,447,,,,,7/9/24 Ant hill Formed 
E ,D ,25,B ,358,NA ,NA ,NA ,NA ,7/9 wilted 7/30 already marked dead 
E ,D ,26,A ,950,,,,,6/25/24 wilting 
E ,D ,26,B ,148,,,,,7/9 wilted 
E ,D ,27,A ,1401,,,,,6/25/24 wilting 
E ,D ,27,B ,756,,,,,
E ,D ,28,A ,495,,,,,
E ,D ,28,B ,1244,,,,,6/25/24 wilting 7/2 wilting 
E ,D ,29,A ,75,,,,,7/2 wilting 
E ,D ,29,B ,315,NA ,NA ,NA ,NA ,7/30 already marked dead 
E ,D ,30,A ,NA ,,,,,
E ,D ,30,B ,NA ,,,,,
F ,D ,31,A ,103,7.2,1.9,1,N ,
F ,D ,31,B ,813,,,,,6/25/24 wilting 
F ,D ,32,A ,92,NA ,NA ,NA ,NA ,7/30 arlready marked dead 
F ,D ,32,B ,538,,,,,
F ,D ,33,A ,269,,,,,
F ,D ,33,B ,741,,,,,7/2 wilting 
F ,D ,34,A ,1280,4.3,1.3,1.3,Y ,
F ,D ,34,B ,246,5,2.3,1.7,Y ,
F ,D ,35,A ,1101,9.6,1.4,1.2,N ,
F ,D ,36,A ,503,14,3.2,3,Y ,
F ,D ,36,B ,190,3,1.4,1.3,N ,
F ,D ,37,A ,1514,,,,,Dead at planting 
F ,D ,37,B ,531,,,,,6/25/24 wilted 
F ,D ,38,A ,713,,,,,7/9 wilted 
F ,D ,38,B ,6,,,,,6/25/24 roots exposed 
F ,D ,39,A ,350,11.1,4.2,2.8,N ,
F ,D ,39,B ,484,10.6,2.1,1.2,Y ,
F ,D ,40,A ,1214,,,,,6/25/24 wilted 7/2 wilting 
NA ,D ,40,B ,BH_7_8 ,35.8,1.7,1.2,Y ,leaf lacking chiorophyll 
F ,D ,41,A ,757,6.6,NA ,NA ,NA ,7/30 no leaves 
F ,D ,41,B ,559,10.5,1.1,1.1,N ,
F ,D ,42,A ,1232,,,,,6/25/24 gone 
F ,D ,42,B ,897,,,,,7/2 wilted 
F ,D ,43,A ,1190,,,,,
