parent.pop,elevation.group,elev_m,Lat,Long,year,cwd,pck,ppt,tmn,tmx,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,ann_ppt,ppt_seasonality,tmean_wettest_month,tmean_driest_month,ppt_warmest_month,ppt_coldest_month
TM2,Low,379.1526973,39.59255,-121.55072,1971,44.1475,0.48500000000000004,84.8275,4.4875,17.45375,10.970625,12.96625,4.778405619854508,28.01,678.62,84.28171665410368,4.9799999999999995,8.24,16.31,199.02
TM2,Low,379.1526973,39.59255,-121.55072,1972,44.192499999999995,1.42,91.86375,5.6325,18.20125,11.916875,12.56875,6.146651200624846,31.67,734.9100000000001,74.86294508379004,9.06,22.42,12.45,220.57
TM2,Low,379.1526973,39.59255,-121.55072,1973,28.160000000000004,5.9825,187.79375,6.58875,18.17625,12.3825,11.5875,6.265469427174404,30.42,1502.35,92.3499046348918,9.195,23.215,5.01,440.8
TM2,Low,379.1526973,39.59255,-121.55072,1974,17.68625,0,118.17125,5.6925,17.9775,11.835,12.285,5.472928179424873,28.79,945.37,96.1692210546119,10.545,17.61,8.69,343.56
TM2,Low,379.1526973,39.59255,-121.55072,1975,30.86125,0,112.95125,5.1587499999999995,17.56375,11.36125,12.405,5.351069152181512,28.83,903.61,109.09563225178098,7.855,21.58,6.86,352.11
TM2,Low,379.1526973,39.59255,-121.55072,1976,46.91,0,35.4375,5.455,19.7075,12.58125,14.2525,4.843072187598045,28.56,283.49999999999994,88.48398915251128,9.455,19,3.9,92.82
TM2,Low,379.1526973,39.59255,-121.55072,1977,44.83125,0,77.845,6.27375,19.025,12.649375,12.75125,5.4583438340502415,31.450000000000003,622.7600000000001,93.03980485183332,9.255,24.065,0.64,238.74
TM2,Low,379.1526973,39.59255,-121.55072,1978,19.4975,0,152.18625,6.37,17.97375,12.171875,11.60375,5.075930553321515,29.14,1217.49,91.57107825782234,8.925,21.195,5.25,425.86
TM2,Low,379.1526973,39.59255,-121.55072,1979,39.723749999999995,0,132.77875,5.96875,18.45625,12.2125,12.4875,5.382328226971777,29.72,1062.2299999999998,68.27100638017582,7.755000000000001,22.055,0.36,261.52
TM2,Low,379.1526973,39.59255,-121.55072,1980,24.56375,0,124.3425,6.475,18.58875,12.531875,12.11375,3.7041453009721814,22.65,994.74,95.81994341436813,10.47,18.99,15.99,315.83
