month,growmonth,parent.pop,elevation.group,elev_m,PckSum,year,cwd,pck,ppt,tmn,tmx,AvgFirstMonth,AvgLastMonth
11,NA,YO4,High,2157.57391,1776.3496654828389,1972,32.459999084472656,61.470001220703125,152.72999572753906,-4.110000133514404,6.510000228881836,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1972,23.399999618530273,195.4900054931641,146.97000122070312,-7.610000133514404,3.6700000762939458,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1973,87.41999816894531,0,12.5,6.420000076293945,21.030000686645508,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1973,87.63999938964844,0,0,9.279999732971191,24.190000534057617,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1973,59.4900016784668,0,16.889999389648438,9.640000343322754,23.280000686645508,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1973,74.5199966430664,0,1.9600000381469729,5.289999961853027,20.06999969482422,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1973,62.439998626708984,0,89.58000183105469,2.6700000762939453,15.460000038146973,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1973,31.219999313354492,135.3800048828125,265.8500061035156,-3.680000066757202,6.400000095367432,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1973,25.780000686645508,251.3000030517578,222.25,-3.369999885559082,6.730000019073486,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1974,88.80000305175781,0,0,7.119999885559082,21.790000915527344,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1974,65.4800033569336,0,40.099998474121094,9.8100004196167,23.06999969482422,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1974,84.12000274658203,0,0.4300000071525574,9.699999809265137,23.829999923706055,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1974,83.44999694824219,0,0,8.729999542236328,23.690000534057617,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1974,65.660003662109375,0,78.18000030517578,3.430000066757202,15.170000076293944,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1974,36.27000045776367,0,57.689998626708984,-2.0199999809265137,9.640000343322754,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1974,25.65999984741211,81.05000305175781,121.16000366210938,-5.389999866485596,5.630000114440918,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1975,83.87999725341797,0,11.4399995803833,4.699999809265137,19.06999969482422,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1975,87.30999755859375,0,0,9.68000030517578,23.43000030517578,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1975,58.40999984741211,0,34.31999969482422,8.609999656677246,22.510000228881836,5,12
