parent.pop,elevation.group,elev_m,Lat,Long,year,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_quarter,tmean_driest_quarter,ann_ppt,ppt_seasonality,ppt_warmest_quarter,ppt_coldest_quarter
CP2,High,2244.132886,38.66169,-120.13065,1993,5.860416666666667,12.3475,662.9391669038355,30.220000000000002,-2.7416666666666667,10.549999999999999,1538.94,118.60604376736002,88.33999999999999,1093.5900000000001
CP2,High,2244.132886,38.66169,-120.13065,1994,7.075,13.223333333333334,710.0122918270181,34.230000000000004,-1.065,11.673333333333334,736.3799999999999,101.0866170763368,116.39,408.65
CP2,High,2244.132886,38.66169,-120.13065,1995,5.694166666666667,12.341666666666667,680.9752309383325,31.26,0.7833333333333335,5.855,2018.1998,117.27704708883668,222.45,713.4199000000001
CP2,High,2244.132886,38.66169,-120.13065,1996,7.227916666666667,12.7025,640.5414420747119,30.22,0.3066666666666665,8.801666666666668,1656.04,98.44090199423009,152.22,1009.72
CP2,High,2244.132886,38.66169,-120.13065,1997,6.95,12.633333333333333,616.6640090032822,29.92,-0.18833333333333324,11.001666666666667,1698.2899,149.28189900042054,69.92999999999999,1182.7299
CP2,High,2244.132886,38.66169,-120.13065,1998,5.619166666666667,11.84,691.0713301341139,31.79,-1.4733333333333334,10.63,1719.7299999999998,97.43054336105166,196.56,942.97
CP2,High,2244.132886,38.66169,-120.13065,1999,6.2995833333333335,12.929166666666667,676.2499019772515,30.64,-0.6283333333333334,9.19,1403.7800000000002,104.3245501678046,174.91,817.19
CP2,High,2244.132886,38.66169,-120.13065,2000,7.367083333333333,12.760833333333332,617.795731846602,29.27,0.315,10.459999999999999,1326,115.05424845493084,125.47000000000001,782.3299999999999
CP2,High,2244.132886,38.66169,-120.13065,2001,7.622916666666666,13.3425,752.4241265987414,33.72,-0.5683333333333335,11.198333333333332,771.8299999999998,101.18495462075798,184.17,378.74
CP2,High,2244.132886,38.66169,-120.13065,2002,7.210416666666667,13.090833333333332,716.6083137801207,33.5,-0.42833333333333345,12.003333333333336,1110.0499999999997,112.93158326445938,78.51,526.98
CP2,High,2244.132886,38.66169,-120.13065,2003,7.7787500000000005,12.614166666666666,722.5021272381392,32.31,5.155,12.125,1275.9500000000003,108.29257707725537,100.25,511.42
CP2,High,2244.132886,38.66169,-120.13065,2004,7.000416666666666,12.487499999999999,687.8896402744917,31.659999999999997,-0.8599999999999999,11.816666666666668,1226.8400000000001,113.42646108513095,76.91,734.54
CP2,High,2244.132886,38.66169,-120.13065,2005,6.7404166666666665,12.227500000000001,660.9015694259599,31,0.5916666666666668,10.585,1368.83,82.56823449006609,131.15,618.46
CP2,High,2244.132886,38.66169,-120.13065,2006,7.244166666666667,12.49,725.3605007584891,33.900000000000006,0.48,8.956666666666667,1717.45,113.72148800287579,316.11999999999995,922.0699999999999
