rowid,parent.pop,phylogroup,Lat,Long,elev_m,year,month,aet,cwd,pck,pet,ppt,tmn,tmx
1,BH,4,37.40985,-119.96458,511.4294422,1907,aug,29.56,146.54,0,176.1,0,15.34,33.06
1,BH,4,37.40985,-119.96458,511.4294422,1907,dec,1.28,31.52,0,32.8,112.36,2.06,13.98
1,BH,4,37.40985,-119.96458,511.4294422,1907,feb,7.89,43.21,0,51.1,75.04,5.29,17.43
1,BH,4,37.40985,-119.96458,511.4294422,1907,jan,8,24.9,0,32.9,167.28,0.74,11.45
1,BH,4,37.40985,-119.96458,511.4294422,1907,jul,72.71,129.89,0,202.6,0,15.5,34.56
1,BH,4,37.40985,-119.96458,511.4294422,1907,jun,147.15,34.75,0,181.9,22.26,11.92,28.16
1,BH,4,37.40985,-119.96458,511.4294422,1907,mar,39.42,39.18,0,78.6,288.27,3.22,13.9
1,BH,4,37.40985,-119.96458,511.4294422,1907,may,90.18,72.92,0,163.1,9.74,9.17,25.14
1,BH,4,37.40985,-119.96458,511.4294422,1907,nov,1.88,45.92,0,47.8,0,3.49,20.18
1,BH,4,37.40985,-119.96458,511.4294422,1907,oct,1,89.2,0,90.2,22.08,10.05,24.8
1,BH,4,37.40985,-119.96458,511.4294422,1907,sep,5.34,123.46,0,128.8,0,11.23,28.93
1,BH,4,37.40985,-119.96458,511.4294422,1908,apr,48.21,74.49,0,122.7,13.72,6.15,22.83
1,BH,4,37.40985,-119.96458,511.4294422,1908,aug,3.19,175.71,0,178.9,0,16.31,34.35
1,BH,4,37.40985,-119.96458,511.4294422,1908,dec,2.18,28.32,0,30.5,32.03,0.19,10.84
1,BH,4,37.40985,-119.96458,511.4294422,1908,feb,5.82,40.08,0,45.9,61.94,0.73,13.72
1,BH,4,37.40985,-119.96458,511.4294422,1908,jan,4.43,30.07,0,34.5,89.21,1.38,14.07
1,BH,4,37.40985,-119.96458,511.4294422,1908,jul,49.16,160.54,0,209.7,0,17.89,37.36
1,BH,4,37.40985,-119.96458,511.4294422,1908,jun,76.53,105.07,0,181.6,0,10.28,29.58
1,BH,4,37.40985,-119.96458,511.4294422,1908,mar,24.67,59.03,0,83.7,32.01,3.66,18.36
1,BH,4,37.40985,-119.96458,511.4294422,1908,may,127.8,26.3,0,154.1,32.11,5.77,22.91
1,BH,4,37.40985,-119.96458,511.4294422,1908,nov,2.22,45.08,0,47.3,39.42,3.71,18.96
1,BH,4,37.40985,-119.96458,511.4294422,1908,oct,1.06,84.04,0,85.1,28.45,6.34,22.64
1,BH,4,37.40985,-119.96458,511.4294422,1908,sep,0.15,132.45,0,132.6,8.43,13.47,30.26
1,BH,4,37.40985,-119.96458,511.4294422,1909,apr,48.44,72.66,0,121.1,0.19,5.94,21.82
1,BH,4,37.40985,-119.96458,511.4294422,1909,aug,12.2,165.8,0,178,0,15.51,34.43
1,BH,4,37.40985,-119.96458,511.4294422,1909,dec,4.92,25.78,0,30.7,186.55,0.51,11.02
1,BH,4,37.40985,-119.96458,511.4294422,1909,feb,10.24,35.96,0,46.2,157.51,2.74,12.23
