parent.pop,elevation.group,elev_m,Lat,Long,TimePd,GrwSsn_GD,GrwSsn_FLINT_GD,GrwSsn_BIOCLIM_GD,Wtr_Year_GD,Wtr_Year_FLINT_GD,Wtr_Year_BIOCLIM_GD
SQ1,Mid,1921.036585,36.56435,-118.7764,Historical,0.34343744030092266,0.2625098047857083,0.3758084945070084,0.4635438006261669,0.3339242935283393,0.5283535541750807
SQ2,Mid,1934.45122,36.66557,-118.83543,Historical,0.35405322530453026,0.3061109853947364,0.3732301212684478,0.4869071271069376,0.40378892831619206,0.5284662265023105
SC,Low,421.5178299,38.41167,-120.73583000000001,Historical,0.3614023678012319,0.3995839976319227,0.3461297158689558,0.22299687308917487,0.04382321350183927,0.31258370288284265
YO4,High,2157.57391,37.76378,-119.77244,Historical,0.3662881952407945,0.35555910958083004,0.3705798295047802,0.5254462686863665,0.4655782172051613,0.5553802944269691
WL2,High,2020.115818,38.8263,-120.25242,Historical,0.3710235492002998,0.39446711219731034,0.3616461240014957,0.5656479680106546,0.500965819092461,0.5979890424697517
CC,Low,313,39.58597,-121.43311,Historical,0.3989702831045727,0.45595522196465743,0.3761763075605389,0.2568375034917601,0.12923793077919565,0.3206372898480424
CP2,High,2244.132886,38.66169,-120.13065,Historical,0.4044148461374616,0.2702196490624766,0.4580929249674557,0.6028634329364414,0.5469315091451351,0.6308293948320947
SQ3,High,2373.170732,36.72109,-118.84933,Historical,0.45722853200184765,0.4124108183035215,0.4751556174811782,0.5639141526227397,0.49813101613272903,0.596805720867745
YO7,High,2469.978665,37.80903,-119.56605,Historical,0.4657658518804943,0.38198583995481,0.4992778566507681,0.5897844310773136,0.6066797624944794,0.5813367653687308
CP3,High,2266.382201,38.70649,-120.08797,Historical,0.4669526810836787,0.3827481353545445,0.5006344993753324,0.6396478186233099,0.6275693714410802,0.6456870422144247
TM2,Low,379.1526973,39.59255,-121.55072,Historical,0.46958850562859233,0.5638473592905965,0.43188496416379074,0.2804399974651661,0.16202203998895393,0.33964897620327233
YO8,High,2590.97836,37.81117,-119.48624,Historical,0.484671443589994,0.38694736626184034,0.5237610745212554,0.5812688200182835,0.5727781363934469,0.5855141618307019
YO11,High,2872.295032,37.93844,-119.23157,Historical,0.6186302929394776,0.5225985952601234,0.6570429720112192,0.5830731335805268,0.5720009572060459,0.5886092217677674
LV1,High,2593.416641,40.47471,-121.50486,Historical,0.6598801161500408,0.7676874517502428,0.61675718190996,0.7888905635883982,0.8452022223449736,0.7607347342101107
LVTR1,High,2741.38982,40.47917,-121.5032,Historical,0.6716468976976624,0.7711138770143643,0.6318601059709819,0.8014085086449031,0.8567863477998,0.7737195890674546
LV3,High,2353.550747,40.47917,-121.52311,Historical,0.6724587621985981,0.8136683994143106,0.6159749073123131,0.7910060640410802,0.8690578205057534,0.7519801858087436
