parent.pop,elevation.group,elev_m,Lat,Long,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_quarter,tmean_driest_quarter,ann_ppt,ppt_seasonality,ppt_warmest_quarter,ppt_coldest_quarter,TimePd
SQ2,Mid,1934.45122,36.66557,-118.83543,8.239875,12.300305555555555,651.0543478697005,30.816,2.9815555555555555,11.654388888888889,1035.66266,116.6628011278594,118.83,522.7563266666667,Historical
SQ3,High,2373.170732,36.72109,-118.84933,6.107388888888889,12.155555555555555,638.5254256271005,30.601333333333333,0.9895555555555554,9.473833333333333,1128.3079933333333,116.11615269357837,121.014,568.73766,Historical
TM2,Low,379.1526973,39.59255,-121.55072,15.517597222222221,13.934083333333334,670.4846129038958,32.69766666666667,9.475555555555555,18.837777777777777,1101.7039966666666,117.00593269799755,110.67033333333333,563.3759966666667,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,9.7545,13.453277777777778,664.7802854592121,32.30266666666667,3.7668333333333335,13.195444444444444,1217.4016533333333,108.70898037274192,133.10266666666666,592.8876566666667,Historical
WL2,High,2020.115818,38.8263,-120.25242,7.480027777777778,12.611777777777778,660.9042379219079,31.401333333333334,1.5942222222222222,10.87138888888889,1250.23599,105.59711443756314,141.10833333333335,596.20999,Historical
WR,Mid,1158,39.34346,-120.80659,11.92798611111111,13.322527777777777,673.3516498615704,31.989666666666665,5.694111111111111,15.386277777777778,1595.9542999999999,115.45301133100574,157.31033333333335,803.2559766666667,Historical
WV,Mid,748.8570558,40.74084,-123.00364,11.457041666666667,14.894972222222222,719.1580872860133,35.13666666666667,4.618611111111111,15.233777777777778,1008.8176666666667,109.49101335706915,100.78033333333333,505.24399999999997,Historical
YO11,High,2872.295032,37.93844,-119.23157,2.5473194444444442,14.365416666666667,671.010159842968,33.343666666666664,-2.674166666666667,5.437722222222222,801.7516666666667,104.38523899338324,91.54333333333334,386.99466666666666,Historical
YO4,High,2157.57391,37.76378,-119.77244,7.38925,12.515666666666666,651.5450192144405,31.000333333333334,2.2873888888888887,11.029222222222222,1135.4276533333334,113.01419644891153,115.80933333333333,559.1223233333334,Historical
YO7,High,2469.978665,37.80903,-119.56605,4.893847222222222,13.593083333333334,647.1157134582072,32.00033333333333,-0.2931666666666667,8.226444444444445,1213.5036566666665,110.0877582486783,123.779,603.4699933333334,Historical
YO8,High,2590.97836,37.81117,-119.48624,4.355152777777778,13.902472222222222,650.1693711685643,32.35066666666667,-0.8742222222222222,7.788055555555555,1203.5753266666666,109.98885390450357,123.182,601.68966,Historical
